replica,network,population,sigma,true_model,net_size,colab_cond,RR
15,Lattice,All,0.2,2,413,NOLAB,0.2979504435607219
16,Lattice,All,0.2,2,413,NOLAB,0.29441776710684275
17,Lattice,All,0.2,2,413,NOLAB,0.2957540263543192
18,Lattice,All,0.2,2,413,NOLAB,0.28182941903584674
19,Lattice,All,0.2,2,413,NOLAB,0.29771689497716897
20,Lattice,All,0.2,2,413,NOLAB,0.2789115646258503
21,Lattice,All,0.2,2,413,NOLAB,0.2893973573960683
22,Lattice,All,0.2,2,413,NOLAB,0.293036750483559
23,Lattice,All,0.2,2,413,NOLAB,0.2979917306556409
24,Lattice,All,0.2,2,413,NOLAB,0.30093289196509176
25,Lattice,All,0.2,2,413,NOLAB,0.30406015037593986
26,Lattice,All,0.2,2,413,NOLAB,0.3067213632060587
27,Lattice,All,0.2,2,413,NOLAB,0.3037397385223472
28,Lattice,All,0.2,2,413,NOLAB,0.3066961465571699
29,Lattice,All,0.2,2,413,NOLAB,0.3084507042253521
30,Lattice,All,0.2,2,413,NOLAB,0.3325220565865531
31,Lattice,All,0.2,2,413,NOLAB,0.28801486528336945
32,Lattice,All,0.2,2,413,NOLAB,0.2840975043528729
33,Lattice,All,0.2,2,413,NOLAB,0.27730829420970265
34,Lattice,All,0.2,2,413,NOLAB,0.30087390761548066
35,Lattice,All,0.2,2,413,NOLAB,0.3050480024775472
36,Lattice,All,0.2,2,413,NOLAB,0.3123441396508728
37,Lattice,All,0.2,2,413,NOLAB,0.3041905336147121
38,Lattice,All,0.2,2,413,NOLAB,0.2855796418473139
39,Lattice,All,0.2,2,413,NOLAB,0.2926457125419591
40,Lattice,All,0.2,2,413,NOLAB,0.31561051004636786
41,Lattice,All,0.2,2,413,NOLAB,0.2923497267759563
42,Lattice,All,0.2,2,413,NOLAB,0.3207663782447466
43,Lattice,All,0.2,2,413,NOLAB,0.299202942979767
44,Lattice,All,0.2,2,413,NOLAB,0.2725575606720597
45,Lattice,All,0.2,2,413,NOLAB,0.31544665012406947
46,Lattice,All,0.2,2,413,NOLAB,0.29497274379164146
47,Lattice,All,0.2,2,413,NOLAB,0.28102532041262895
48,Lattice,All,0.2,2,413,NOLAB,0.2732977721995607
49,Lattice,All,0.2,2,413,NOLAB,0.28096582000627157
50,Lattice,All,0.2,2,413,NOLAB,0.2763850201176106
1,Lattice,All,0.2,7,413,COLAB,0.4261645193260654
2,Lattice,All,0.2,7,413,COLAB,0.4594739667203435
3,Lattice,All,0.2,7,413,COLAB,0.4345769837099317
4,Lattice,All,0.2,7,413,COLAB,0.43656136716727084
5,Lattice,All,0.2,7,413,COLAB,0.43400211193241817
6,Lattice,All,0.2,7,413,COLAB,0.4457494407158837
7,Lattice,All,0.2,7,413,COLAB,0.4686450167973124
8,Lattice,All,0.2,7,413,COLAB,0.42748980780430984
9,Lattice,All,0.2,7,413,COLAB,0.47639956092206365
10,Lattice,All,0.2,7,413,COLAB,0.4261057173678533
11,Lattice,All,0.2,7,413,COLAB,0.4317825405122844
12,Lattice,All,0.2,7,413,COLAB,0.4297566371681416
13,Lattice,All,0.2,7,413,COLAB,0.40844298245614036
14,Lattice,All,0.2,7,413,COLAB,0.41801902630106325
15,Lattice,All,0.2,7,413,COLAB,0.42591662481165243
16,Lattice,All,0.2,7,413,COLAB,0.4268421052631579
17,Lattice,All,0.2,7,413,COLAB,0.4329896907216495
18,Lattice,All,0.2,7,413,COLAB,0.453551912568306
19,Lattice,All,0.2,7,413,COLAB,0.4190333831589437
20,Lattice,All,0.2,7,413,COLAB,0.43838489774514944
21,Lattice,All,0.2,7,413,COLAB,0.4575328614762386
22,Lattice,All,0.2,7,413,COLAB,0.4381551362683438
23,Lattice,All,0.2,7,413,COLAB,0.44050913115661317
