replica,network,population,sigma,true_model,modelcompare,base_SS,RR
27,None,All,0.2,7,AIC,20,0.899641577060932
28,None,All,0.2,7,AIC,20,0.8958923512747875
29,None,All,0.2,7,AIC,20,0.9107946026986506
30,None,All,0.2,7,AIC,20,0.906754772393539
31,None,All,0.2,7,AIC,20,0.9126925898752751
32,None,All,0.2,7,AIC,20,0.9109281437125748
33,None,All,0.2,7,AIC,20,0.7114818449460255
34,None,All,0.2,7,AIC,20,0.9095200629425649
35,None,All,0.2,7,AIC,20,0.8448448448448449
36,None,All,0.2,7,AIC,20,0.9056742815033162
37,None,All,0.2,7,AIC,20,0.8138957816377171
38,None,All,0.2,7,AIC,20,0.9093982420554428
39,None,All,0.2,7,AIC,20,0.6944444444444444
40,None,All,0.2,7,AIC,20,0.9038461538461539
41,None,All,0.2,7,AIC,20,0.8856115107913669
42,None,All,0.2,7,AIC,20,0.8607214428857716
43,None,All,0.2,7,AIC,20,0.9164882226980728
44,None,All,0.2,7,AIC,20,0.6923076923076923
45,None,All,0.2,7,AIC,20,0.8977681785457163
46,None,All,0.2,7,AIC,20,0.899075500770416
47,None,All,0.2,7,AIC,20,0.9052558782849239
48,None,All,0.2,7,AIC,20,0.8965272856130404
49,None,All,0.2,7,AIC,20,0.905829596412556
50,None,All,0.2,7,AIC,20,0.9098417068134893
1,None,All,0.2,13,BIC,100,0.996309963099631
2,None,All,0.2,13,BIC,100,0.9963160049119935
3,None,All,0.2,13,BIC,100,0.9913151364764268
4,None,All,0.2,13,BIC,100,0.7142857142857143
5,None,All,0.2,13,BIC,100,0.829073482428115
6,None,All,0.2,13,BIC,100,0.9927125506072875
7,None,All,0.2,13,BIC,100,0.9963220269718022
8,None,All,0.2,13,BIC,100,0.9960861056751468
9,None,All,0.2,13,BIC,100,0.9956175298804781
10,None,All,0.2,13,BIC,100,0.9960095770151636
11,None,All,0.2,13,BIC,100,0.9960830395613004
12,None,All,0.2,13,BIC,100,0.99276817999196465
13,None,All,0.2,13,BIC,100,0.9942268041237113
14,None,All,0.2,13,BIC,100,0.9572279371954521
15,None,All,0.2,13,BIC,100,0.9951357924604783
16,None,All,0.2,13,BIC,100,0.991442542787286
17,None,All,0.2,13,BIC,100,0.9968379446640316
18,None,All,0.2,13,BIC,100,0.9968341907400079
19,None,All,0.2,13,BIC,100,0.9943707277844793
20,None,All,0.2,13,BIC,100,0.9937629937629938
21,None,All,0.2,13,BIC,100,0.9959066721244372
22,None,All,0.2,13,BIC,100,0.9979270315091211
23,None,All,0.2,13,BIC,100,0.9979691307879772
24,None,All,0.2,13,BIC,100,0.994797919167667
25,None,All,0.2,13,BIC,100,0.9972022382094324
26,None,All,0.2,13,BIC,100,0.9948371723590151
27,None,All,0.2,13,BIC,100,0.9943616592831253
28,None,All,0.2,13,BIC,100,0.9972310126582279
29,None,All,0.2,13,BIC,100,0.9967466449776332
30,None,All,0.2,13,BIC,100,0.9903157894736843
31,None,All,0.2,13,BIC,100,0.9935948759007206
32,None,All,0.2,13,BIC,100,0.9975520195838433
33,None,All,0.2,13,BIC,100,0.9952418715305313
34,None,All,0.2,13,BIC,100,0.9960861056751468
35,None,All,0.2,13,BIC,100,0.9939662107803701
36,None,All,0.2,13,BIC,100,0.9955248169243287
37,None,All,0.2,13,BIC,100,0.9951000408329931
38,None,All,0.2,13,BIC,100,0.992901878914405
39,None,All,0.2,13,BIC,100,0.9943661971830986
40,None,All,0.2,13,BIC,100,0.9940095846645367
41,None,All,0.2,13,BIC,100,0.995575221238938
42,None,All,0.2,13,BIC,100,0.9964580873671782
43,None,All,0.2,13,BIC,100,0.9844993715961458
44,None,All,0.2,13,BIC,100,0.995
45,None,All,0.2,13,BIC,100,0.9943616592831253
46,None,All,0.2,13,BIC,100,0.9951807228915662
47,None,All,0.2,13,BIC,100,0.987118935165307
48,None,All,0.2,13,BIC,100,0.9952569169960475
49,None,All,0.2,13,BIC,100,0.9931809065383073
50,None,All,0.2,13,BIC,100,0.3474264705882353
1,None,All,0.2,2,BIC,100,0.9791755206119847
2,None,All,0.2,2,BIC,100,0.9859215017064846
3,None,All,0.2,2,BIC,100,0.981180496150556
4,None,All,0.2,2,BIC,100,0.9808347529812607
5,None,All,0.2,2,BIC,100,0.9717268377555459
6,None,All,0.2,2,BIC,100,0.9777587681779298
7,None,All,0.2,2,BIC,100,0.9801816680429397
8,None,All,0.2,2,BIC,100,0.9753550543024228
9,None,All,0.2,2,BIC,100,0.9788557213930348
10,None,All,0.2,2,BIC,100,0.9810206663854913
11,None,All,0.2,2,BIC,100,0.9778779188857026
12,None,All,0.2,2,BIC,100,0.978978978978979
13,None,All,0.2,2,BIC,100,0.9777777777777777
14,None,All,0.2,2,BIC,100,0.9768439108061749
15,None,All,0.2,2,BIC,100,0.9807115302186027
16,None,All,0.2,2,BIC,100,0.9801268498942918
17,None,All,0.2,2,BIC,100,0.9761284722222222
18,None,All,0.2,2,BIC,100,0.9763644177051999
19,None,All,0.2,2,BIC,100,0.9815450643776824
20,None,All,0.2,2,BIC,100,0.9779771615008157
21,None,All,0.2,2,BIC,100,0.9830436625688851
22,None,All,0.2,2,BIC,100,0.9781052631578947
23,None,All,0.2,2,BIC,100,0.9721618094823836
24,None,All,0.2,2,BIC,100,0.9793473771168938
25,None,All,0.2,2,BIC,100,0.980859208847299
26,None,All,0.2,2,BIC,100,0.9813559322033898
27,None,All,0.2,2,BIC,100,0.9778890279516061
28,None,All,0.2,2,BIC,100,0.9788610871440897
29,None,All,0.2,2,BIC,100,0.9823306689103912
30,None,All,0.2,2,BIC,100,0.97911227154047
31,None,All,0.2,2,BIC,100,0.9764705882352941
32,None,All,0.2,2,BIC,100,0.980115990057995
33,None,All,0.2,2,BIC,100,0.9771784232365145
34,None,All,0.2,2,BIC,100,0.9753550543024228
35,None,All,0.2,2,BIC,100,0.9805743243243243
36,None,All,0.2,2,BIC,100,0.9800581636892397
37,None,All,0.2,2,BIC,100,0.974009900990099
38,None,All,0.2,2,BIC,100,0.9772727272727273
39,None,All,0.2,2,BIC,100,0.9769295302013423
40,None,All,0.2,2,BIC,100,0.9817391304347826
41,None,All,0.2,2,BIC,100,0.9826711749788672
42,None,All,0.2,2,BIC,100,0.975434138077086
43,None,All,0.2,2,BIC,100,0.9747202652300041
44,None,All,0.2,2,BIC,100,0.9782072368421053
45,None,All,0.2,2,BIC,100,0.9774673276250563
46,None,All,0.2,2,BIC,100,0.979746835443038
47,None,All,0.2,2,BIC,100,0.9772631578947368
48,None,All,0.2,2,BIC,100,0.9808917197452229
49,None,All,0.2,2,BIC,100,0.977580372250423
50,None,All,0.2,2,BIC,100,0.9813717188823031
1,None,All,0.2,7,BIC,100,0.9903083700440528
2,None,All,0.2,7,BIC,100,0.9873913043478261
3,None,All,0.2,7,BIC,100,0.9904682967260672
4,None,All,0.2,7,BIC,100,0.7691500524658972
5,None,All,0.2,7,BIC,100,0.9875268817204301
6,None,All,0.2,7,BIC,100,0.9876700680272109
7,None,All,0.2,7,BIC,100,0.9862892525431225
8,None,All,0.2,7,BIC,100,0.9882005899705014
9,None,All,0.2,7,BIC,100,0.9877274650867541
10,None,All,0.2,7,BIC,100,0.9903198653198653
11,None,All,0.2,7,BIC,100,0.9875415282392026
12,None,All,0.2,7,BIC,100,0.987308533916849
13,None,All,0.2,7,BIC,100,0.9895002099958001
