replica,network,population,sigma,true_model,modelcompare,base_SS,RR
14,None,All,0.2,7,BIC,100,0.9785028790786948
15,None,All,0.2,7,BIC,100,0.9787319422150883
16,None,All,0.2,7,BIC,100,0.9819711538461539
17,None,All,0.2,7,BIC,100,0.9768185451638689
18,None,All,0.2,7,BIC,100,0.9784289784289785
19,None,All,0.2,7,BIC,100,0.9827931172468988
20,None,All,0.2,7,BIC,100,0.9743390357698289
21,None,All,0.2,7,BIC,100,0.9765220851571826
22,None,All,0.2,7,BIC,100,0.9771986970684039
23,None,All,0.2,7,BIC,100,0.975770020533881
24,None,All,0.2,7,BIC,100,0.9154150197628459
25,None,All,0.2,7,BIC,100,0.9843382928739233
26,None,All,0.2,7,BIC,100,0.9759558533701221
27,None,All,0.2,7,BIC,100,0.9747634069400631
28,None,All,0.2,7,BIC,100,0.9750100765820234
29,None,All,0.2,7,BIC,100,0.9806800618238022
30,None,All,0.2,7,BIC,100,0.9754500818330606
31,None,All,0.2,7,BIC,100,0.9790265136525524
32,None,All,0.2,7,BIC,100,0.9816775244299675
33,None,All,0.2,7,BIC,100,0.9760031471282454
34,None,All,0.2,7,BIC,100,0.9789964994165694
35,None,All,0.2,7,BIC,100,0.9806841046277666
36,None,All,0.2,7,BIC,100,0.9036570979158475
37,None,All,0.2,7,BIC,100,0.9770716009654062
38,None,All,0.2,7,BIC,100,0.9730265767552558
39,None,All,0.2,7,BIC,100,0.9757936507936508
40,None,All,0.2,7,BIC,100,0.9707578253706755
41,None,All,0.2,7,BIC,100,0.9729622266401591
42,None,All,0.2,7,BIC,100,0.9793854531310774
43,None,All,0.2,7,BIC,100,0.9631245043616178
44,None,All,0.2,7,BIC,100,0.9839357429718876
45,None,All,0.2,7,BIC,100,0.9819059107358263
46,None,All,0.2,7,BIC,100,0.9769749900754268
47,None,All,0.2,7,BIC,100,0.9709163346613546
48,None,All,0.2,7,BIC,100,0.977725674091442
49,None,All,0.2,7,BIC,100,0.96875
50,None,All,0.2,7,BIC,100,0.9427662957074722
1,None,All,0.2,13,BIC,20,0.968609865470852
2,None,All,0.2,13,BIC,20,0.9000819000819
3,None,All,0.2,13,BIC,20,0.9630681818181818
4,None,All,0.2,13,BIC,20,0.9313287281592848
5,None,All,0.2,13,BIC,20,0.908685064935065
6,None,All,0.2,13,BIC,20,0.9425515055467512
7,None,All,0.2,13,BIC,20,0.9301310043668122
8,None,All,0.2,13,BIC,20,0.9156386788698766
9,None,All,0.2,13,BIC,20,0.966373098478783
10,None,All,0.2,13,BIC,20,0.9021518473406415
11,None,All,0.2,13,BIC,20,0.9255663430420712
12,None,All,0.2,13,BIC,20,0.8935824532900081
13,None,All,0.2,13,BIC,20,0.8938193343898574
14,None,All,0.2,13,BIC,20,0.9516324062877872
15,None,All,0.2,13,BIC,20,0.9609657947686117
16,None,All,0.2,13,BIC,20,0.9349658771577679
17,None,All,0.2,13,BIC,20,0.8982843137254902
18,None,All,0.2,13,BIC,20,0.9177804779262859
19,None,All,0.2,13,BIC,20,0.9591107582373958
20,None,All,0.2,13,BIC,20,0.9579901153212521
21,None,All,0.2,13,BIC,20,0.9123649459783914
22,None,All,0.2,13,BIC,20,0.913722267871816
23,None,All,0.2,13,BIC,20,0.965969659696597
24,None,All,0.2,13,BIC,20,0.9616600790513834
25,None,All,0.2,13,BIC,20,0.9107072303437377
26,None,All,0.2,13,BIC,20,0.9636363636363636
27,None,All,0.2,13,BIC,20,0.9522448979591837
28,None,All,0.2,13,BIC,20,0.9458048976314734
29,None,All,0.2,13,BIC,20,0.9590891547664995
30,None,All,0.2,13,BIC,20,0.9398434281005357
31,None,All,0.2,13,BIC,20,0.9383116883116883
32,None,All,0.2,13,BIC,20,0.9299103504482478
33,None,All,0.2,13,BIC,20,0.947983870967742
34,None,All,0.2,13,BIC,20,0.9156386788698766
35,None,All,0.2,13,BIC,20,0.92004821213338694
36,None,All,0.2,13,BIC,20,0.9552361396303901
37,None,All,0.2,13,BIC,20,0.9315336463223787
38,None,All,0.2,13,BIC,20,0.9595719381688466
39,None,All,0.2,13,BIC,20,0.9272291083566573
40,None,All,0.2,13,BIC,20,0.931939319393194
41,None,All,0.2,13,BIC,20,0.9668662674650699
42,None,All,0.2,13,BIC,20,0.9036144578313253
43,None,All,0.2,13,BIC,20,0.9552120491478399
44,None,All,0.2,13,BIC,20,0.9622186495176849
45,None,All,0.2,13,BIC,20,0.9312977099236641
46,None,All,0.2,13,BIC,20,0.9545642296571665
47,None,All,0.2,13,BIC,20,0.9310068190934617
48,None,All,0.2,13,BIC,20,0.9496981891348089
49,None,All,0.2,13,BIC,20,0.9352660841938046
50,None,All,0.2,13,BIC,20,0.9628732849071832
1,None,All,0.2,2,BIC,20,0.8449028163427211
2,None,All,0.2,2,BIC,20,0.8234102875658161
3,None,All,0.2,2,BIC,20,0.8341346153846154
4,None,All,0.2,2,BIC,20,0.826946349334409
5,None,All,0.2,2,BIC,20,0.8342696629213483
6,None,All,0.2,2,BIC,20,0.8444077589764755
7,None,All,0.2,2,BIC,20,0.8400954653937948
8,None,All,0.2,2,BIC,20,0.8335378323108384
9,None,All,0.2,2,BIC,20,0.8168955472326259
10,None,All,0.2,2,BIC,20,0.8170385395537525
11,None,All,0.2,2,BIC,20,0.8266499582289056
12,None,All,0.2,2,BIC,20,0.8172427493047278
13,None,All,0.2,2,BIC,20,0.8244488977955912
