replica,network,population,sigma,true_model,modelcompare,base_SS,agent_away,agent_total,stickiness_overall
9,None,All,0.2,2,BIC,100,196,9213,0.9787257136654727
10,None,All,0.2,2,BIC,100,187,9218,0.9797136038186157
11,None,All,0.2,2,BIC,100,187,9357,0.9800149620604894
12,None,All,0.2,2,BIC,100,192,9151,0.9790186864823517
13,None,All,0.2,2,BIC,100,217,9180,0.9763616557734205
14,None,All,0.2,2,BIC,100,214,9126,0.9765505150120535
15,None,All,0.2,2,BIC,100,188,9316,0.9798196650923143
16,None,All,0.2,2,BIC,100,192,9292,0.9793370641411967
17,None,All,0.2,2,BIC,100,206,9213,0.977640290893303
18,None,All,0.2,2,BIC,100,204,9212,0.9778549717759444
19,None,All,0.2,2,BIC,100,205,9145,0.9775833788955713
20,None,All,0.2,2,BIC,100,191,9289,0.9794380449994617
21,None,All,0.2,2,BIC,100,202,9207,0.9780601716085587
22,None,All,0.2,2,BIC,100,197,9235,0.9786681104493774
23,None,All,0.2,2,BIC,100,199,9222,0.978421166775103
24,None,All,0.2,2,BIC,100,186,9344,0.9800941780821918
25,None,All,0.2,2,BIC,100,192,9162,0.9790438768827767
26,None,All,0.2,2,BIC,100,187,9226,0.9797311944504661
27,None,All,0.2,2,BIC,100,195,9235,0.9788846778559827
28,None,All,0.2,2,BIC,100,195,9237,0.9788892497564144
29,None,All,0.2,2,BIC,100,203,9254,0.9780635400907716
30,None,All,0.2,2,BIC,100,177,9241,0.9808462287631209
31,None,All,0.2,2,BIC,100,190,9212,0.9793747286148502
32,None,All,0.2,2,BIC,100,177,9290,0.9809472551130247
33,None,All,0.2,2,BIC,100,214,9266,0.9769048132959206
34,None,All,0.2,2,BIC,100,196,9124,0.9785181937746602
35,None,All,0.2,2,BIC,100,188,9226,0.9796228051159765
36,None,All,0.2,2,BIC,100,163,9303,0.982478770289154
37,None,All,0.2,2,BIC,100,201,9269,0.9783148128169166
38,None,All,0.2,2,BIC,100,209,9194,0.9772677833369589
39,None,All,0.2,2,BIC,100,200,9186,0.9782277378619638
40,None,All,0.2,2,BIC,100,180,9287,0.9806180682674707
41,None,All,0.2,2,BIC,100,181,9243,0.9804176133290057
42,None,All,0.2,2,BIC,100,192,9198,0.9791258969341161
43,None,All,0.2,2,BIC,100,179,9390,0.980937167199148
44,None,All,0.2,2,BIC,100,208,9264,0.9775474956822107
45,None,All,0.2,2,BIC,100,198,9100,0.9782417582417582
46,None,All,0.2,2,BIC,100,190,9240,0.9794372294372294
47,None,All,0.2,2,BIC,100,177,9263,0.9808917197452229
48,None,All,0.2,2,BIC,100,198,9257,0.9786107810305714
49,None,All,0.2,2,BIC,100,187,9286,0.9798621580874435
50,None,All,0.2,2,BIC,100,198,9200,0.9784782608695652
1,None,All,0.2,7,BIC,100,87,9237,0.9905813575836311
2,None,All,0.2,7,BIC,100,104,9232,0.988734835355286
3,None,All,0.2,7,BIC,100,88,9265,0.9905018888289261
4,None,All,0.2,7,BIC,100,325,2913,0.8884311706144867
5,None,All,0.2,7,BIC,100,92,9310,0.9901181525241676
6,None,All,0.2,7,BIC,100,93,9259,0.9899557187601253
7,None,All,0.2,7,BIC,100,97,8982,0.9892006234691605
8,None,All,0.2,7,BIC,100,103,9103,0.988685048884983
9,None,All,0.2,7,BIC,100,96,9172,0.9895333624073267
10,None,All,0.2,7,BIC,100,99,9256,0.9893042350907519
11,None,All,0.2,7,BIC,100,94,9322,0.9899163269684617
12,None,All,0.2,7,BIC,100,100,9203,0.9891339780506356
13,None,All,0.2,7,BIC,100,99,9287,0.9893399375471089
14,None,All,0.2,7,BIC,100,99,9260,0.9893088552915766
15,None,All,0.2,7,BIC,100,96,9227,0.9895957515985694
16,None,All,0.2,7,BIC,100,96,9240,0.9896103896103896
17,None,All,0.2,7,BIC,100,122,9021,0.9864760004434098
18,None,All,0.2,7,BIC,100,98,9178,0.9893222924384397
19,None,All,0.2,7,BIC,100,101,9155,0.9889677771709449
20,None,All,0.2,7,BIC,100,98,9285,0.9894453419493807
21,None,All,0.2,7,BIC,100,110,9116,0.9879333040807372
22,None,All,0.2,7,BIC,100,102,9062,0.9887442065769146
23,None,All,0.2,7,BIC,100,116,9166,0.987344534147938
24,None,All,0.2,7,BIC,100,344,7670,0.9551499348109518
25,None,All,0.2,7,BIC,100,105,9171,0.9885508668629375
26,None,All,0.2,7,BIC,100,105,9221,0.9886129487040451
27,None,All,0.2,7,BIC,100,112,9156,0.9877675840978594
28,None,All,0.2,7,BIC,100,109,9057,0.9879651098597769
29,None,All,0.2,7,BIC,100,92,9315,0.9901234567901235
30,None,All,0.2,7,BIC,100,101,9126,0.9889327197019505
31,None,All,0.2,7,BIC,100,100,9275,0.9892183288409704
32,None,All,0.2,7,BIC,100,91,9297,0.9902118963106379
33,None,All,0.2,7,BIC,100,93,9270,0.989967637540453
