replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,209,All,0.2,None,100,2,5,3,5,0,2,1,5,0,0
1,210,All,0.2,None,100,2,5,2,7,0,5,0,5,0,0
1,211,All,0.2,None,100,2,5,4,14,0,5,0,5,0,0
1,212,All,0.2,None,100,2,5,1,14,0,5,0,5,0,1
1,213,All,0.2,None,100,2,5,1,14,0,5,0,5,0,1
1,214,All,0.2,None,100,2,5,3,2,1,5,0,2,1,0
1,215,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,216,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,217,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,218,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,219,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,220,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,221,All,0.2,None,100,2,5,4,5,0,2,1,5,0,0
1,222,All,0.2,None,100,2,5,3,2,1,5,0,2,1,0
1,223,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,224,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,225,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,226,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,227,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,228,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,229,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,230,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,231,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,232,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,233,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,234,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,235,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,236,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,237,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,238,All,0.2,None,100,2,5,1,6,0,2,1,2,1,1
1,239,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,240,All,0.2,None,100,2,5,1,5,0,2,1,5,0,0
1,241,All,0.2,None,100,2,5,1,2,1,5,0,2,1,0
1,242,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,243,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,244,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
