orig_type,old_model,selected_model,count
Tess,7,5,1
Tess,7,7,1
Tess,10,5,1
Tess,10,6,2
Tess,10,10,1
Tess,11,3,3
Tess,11,11,2
Tess,13,6,4
Tess,14,5,340
Tess,14,6,708
Tess,14,14,377
Tess,1,2,7
Tess,1,3,2
Tess,5,1,42
Tess,5,5,21
Tess,5,7,24
Tess,6,1,53
Tess,6,6,25
Tess,6,8,28
Tess,8,6,1
Tess,10,5,1
Tess,10,10,1
Tess,11,3,2
Tess,11,11,1
Tess,12,2,2
Tess,12,6,1
Tess,12,12,1
Tess,13,5,5
Tess,13,6,12
Tess,13,13,7
Tess,14,5,296
Tess,14,6,718
Tess,14,14,359
Tess,1,2,59
Tess,1,3,54
Tess,2,1,8
Tess,2,2,3
Tess,2,4,1
Tess,4,2,1
Tess,4,3,2
Tess,4,4,1
Tess,5,1,595
Tess,5,5,320
Tess,5,7,303
Tess,6,1,16
Tess,6,6,7
Tess,6,8,12
Tess,7,3,3
Tess,7,5,3
Tess,7,7,2
Tess,8,2,4
Tess,8,6,3
Tess,8,8,3
Tess,9,2,1
Tess,9,3,2
Tess,9,9,1
Tess,10,6,6
Tess,10,10,8
Tess,11,3,3
Tess,11,11,2
Tess,12,2,4
Tess,12,6,7
Tess,12,12,3
Tess,13,5,3
Tess,13,6,8
Tess,13,13,4
Tess,14,5,59
Tess,14,6,144
Tess,14,14,77
Tess,1,2,7
Tess,1,3,7
Tess,3,4,1
Tess,4,3,1
Tess,5,1,227
Tess,5,5,126
Tess,5,7,130
Tess,6,1,47
Tess,6,6,18
Tess,6,8,28
Tess,7,3,15
Tess,7,5,8
Tess,7,7,8
Tess,10,5,6
Tess,10,6,23
Tess,10,10,10
Tess,11,3,14
Tess,11,5,8
Tess,11,11,4
Tess,13,5,6
Tess,13,6,18
Tess,13,13,9
Tess,14,5,249
Tess,14,6,480
Tess,14,14,232
Tess,1,2,180
Tess,1,3,150
Tess,2,1,1
Tess,2,4,1
Tess,4,2,1
Tess,4,4,1
Tess,5,1,182
Tess,5,5,88
Tess,5,7,101
Tess,6,1,203
Tess,6,6,92
Tess,6,8,81
Tess,7,3,2
Tess,8,2,1
Tess,9,9,1
Tess,12,6,1
Tess,13,5,2
Tess,13,6,3
Tess,13,13,4
Tess,14,5,127
Tess,14,6,253
Tess,14,14,134
Tess,1,2,257
Tess,1,3,216
Tess,2,1,3
Tess,2,4,2
Tess,3,1,1
Tess,3,3,1
Tess,4,2,2
Tess,5,1,330
Tess,5,5,167
Tess,5,7,155
Tess,6,1,98
Tess,6,6,64
Tess,6,8,47
Tess,7,3,1
Tess,7,5,1
Tess,8,8,2
Tess,9,2,2
Tess,9,3,1
Tess,9,9,1
Tess,10,5,2
Tess,10,6,2
Tess,11,3,3
Tess,11,11,2
Tess,12,2,1
Tess,12,6,1
Tess,13,5,2
Tess,13,13,1
Tess,14,5,91
Tess,14,6,188
Tess,14,14,88
Tess,1,2,162
Tess,1,3,157
Tess,2,2,1
Tess,2,4,1
Tess,3,1,1
Tess,4,2,1
Tess,5,1,275
Tess,5,5,116
Tess,5,7,115
Tess,6,1,176
Tess,6,6,93
Tess,6,8,82
Tess,7,5,1
Tess,8,2,1
Tess,8,6,1
Tess,9,2,1
Tess,9,3,2
Tess,10,5,3
Tess,10,6,1
Tess,10,10,1
Tess,11,3,6
Tess,11,11,1
Tess,12,2,1
Tess,13,5,2
