replica,network,population,true_model,sigma,net_size,colab_cond,TAT
39,Lattice,All,2,0.2,413,NOLAB,0.8280485336518071
40,Lattice,All,2,0.2,413,NOLAB,0.8172238476942343
41,Lattice,All,2,0.2,413,NOLAB,0.8180121014471852
42,Lattice,All,2,0.2,413,NOLAB,0.8037814736897815
43,Lattice,All,2,0.2,413,NOLAB,0.8298792765348325
44,Lattice,All,2,0.2,413,NOLAB,0.8302819542174358
45,Lattice,All,2,0.2,413,NOLAB,0.8243774879080086
46,Lattice,All,2,0.2,413,NOLAB,0.8267723014450573
47,Lattice,All,2,0.2,413,NOLAB,0.8214493357320144
48,Lattice,All,2,0.2,413,NOLAB,0.8384473159723937
49,Lattice,All,2,0.2,413,NOLAB,0.8260196503367864
50,Lattice,All,2,0.2,413,NOLAB,0.8301195577531127
1,Lattice,All,7,0.2,413,COLAB,0.781526243963685
2,Lattice,All,7,0.2,413,COLAB,0.7965137348698993
3,Lattice,All,7,0.2,413,COLAB,0.8047187195371215
4,Lattice,All,7,0.2,413,COLAB,0.7971513588722288
5,Lattice,All,7,0.2,413,COLAB,0.75143034071957715
6,Lattice,All,7,0.2,413,COLAB,0.770119478911738
7,Lattice,All,7,0.2,413,COLAB,0.8023089340038493
8,Lattice,All,7,0.2,413,COLAB,0.7724938992196821
9,Lattice,All,7,0.2,413,COLAB,0.7784931435840972
10,Lattice,All,7,0.2,413,COLAB,0.7896484411659815
11,Lattice,All,7,0.2,413,COLAB,0.7729264820039476
12,Lattice,All,7,0.2,413,COLAB,0.7949665880149138
13,Lattice,All,7,0.2,413,COLAB,0.7775617427037147
14,Lattice,All,7,0.2,413,COLAB,0.7747275711465513
15,Lattice,All,7,0.2,413,COLAB,0.8007122906176073
16,Lattice,All,7,0.2,413,COLAB,0.8201768681808824
17,Lattice,All,7,0.2,413,COLAB,0.7720824786786139
18,Lattice,All,7,0.2,413,COLAB,0.8057870621593672
19,Lattice,All,7,0.2,413,COLAB,0.7888606941081517
20,Lattice,All,7,0.2,413,COLAB,0.7968689967742797
21,Lattice,All,7,0.2,413,COLAB,0.7696848856167446
22,Lattice,All,7,0.2,413,COLAB,0.7734003351794154
23,Lattice,All,7,0.2,413,COLAB,0.7884929452513695
24,Lattice,All,7,0.2,413,COLAB,0.8143022021486094
25,Lattice,All,7,0.2,413,COLAB,0.8035872756462155
26,Lattice,All,7,0.2,413,COLAB,0.8286457875806844
27,Lattice,All,7,0.2,413,COLAB,0.8190712205508798
28,Lattice,All,7,0.2,413,COLAB,0.7957140708961293
29,Lattice,All,7,0.2,413,COLAB,0.7873147109195063
30,Lattice,All,7,0.2,413,COLAB,0.793593784358279
31,Lattice,All,7,0.2,413,COLAB,0.7910665847223148
32,Lattice,All,7,0.2,413,COLAB,0.7823602093196624
33,Lattice,All,7,0.2,413,COLAB,0.8304706322609943
34,Lattice,All,7,0.2,413,COLAB,0.7724938992196821
35,Lattice,All,7,0.2,413,COLAB,0.7966014575138629
36,Lattice,All,7,0.2,413,COLAB,0.8029533926547396
37,Lattice,All,7,0.2,413,COLAB,0.792967691567243
38,Lattice,All,7,0.2,413,COLAB,0.7885678815899344
39,Lattice,All,7,0.2,413,COLAB,0.8029385868368919
40,Lattice,All,7,0.2,413,COLAB,0.7897470817238068
41,Lattice,All,7,0.2,413,COLAB,0.7848237614825145
42,Lattice,All,7,0.2,413,COLAB,0.7537232821240711
43,Lattice,All,7,0.2,413,COLAB,0.7853392376936779
44,Lattice,All,7,0.2,413,COLAB,0.7882449590005494
45,Lattice,All,7,0.2,413,COLAB,0.7890903616100083
46,Lattice,All,7,0.2,413,COLAB,0.7567150701858228
47,Lattice,All,7,0.2,413,COLAB,0.7945000443627769
48,Lattice,All,7,0.2,413,COLAB,0.7965010627123575
49,Lattice,All,7,0.2,413,COLAB,0.7969594997943815
50,Lattice,All,7,0.2,413,COLAB,0.7914091372499044
1,Lattice,All,7,0.2,413,NOLAB,0.7831949932755039
2,Lattice,All,7,0.2,413,NOLAB,0.8000667471471271
3,Lattice,All,7,0.2,413,NOLAB,0.8314927303216003
4,Lattice,All,7,0.2,413,NOLAB,0.7845483367405625
5,Lattice,All,7,0.2,413,NOLAB,0.8039696015812229
6,Lattice,All,7,0.2,413,NOLAB,0.8046482758347165
7,Lattice,All,7,0.2,413,NOLAB,0.8075894980964525
8,Lattice,All,7,0.2,413,NOLAB,0.7890684858994325
9,Lattice,All,7,0.2,413,NOLAB,0.8123535319067475
