replica,sigma,population,network,true_model,net_size,colab_cond,stickiness_agent,stickiness_switch,stickiness_overall
9,0.2,All,Lattice,7,413,COLAB,0.9265350877192983,0.7862016679302501,0.8808877928483354
10,0.2,All,Lattice,7,413,COLAB,0.9221860296778863,0.8084805653710248,0.8836764001914792
11,0.2,All,Lattice,7,413,COLAB,0.9170370370370371,0.8060013956734124,0.8785385918219211
12,0.2,All,Lattice,7,413,COLAB,0.9220489977728286,0.8032069970845481,0.881947860304968
13,0.2,All,Lattice,7,413,COLAB,0.9193308550185874,0.8242074927953891,0.8869543894065719
14,0.2,All,Lattice,7,413,COLAB,0.9281705948372615,0.8067104303428154,0.8869930761622156
15,0.2,All,Lattice,7,413,COLAB,0.9150841992117521,0.8122977346278317,0.878459409594096
16,0.2,All,Lattice,7,413,COLAB,0.9257731958762887,0.8236130867709814,0.8924930491195552
17,0.2,All,Lattice,7,413,COLAB,0.9279475982532751,0.8129439621152328,0.8916562889165629
18,0.2,All,Lattice,7,413,COLAB,0.9220733427362482,0.7734487734487734,0.8732828043581241
19,0.2,All,Lattice,7,413,COLAB,0.9130763416477702,0.8139372822299652,0.8782161234991424
20,0.2,All,Lattice,7,413,COLAB,0.9271879483500718,0.8187134502923976,0.8914821944177094
21,0.2,All,Lattice,7,413,COLAB,0.9184268026219956,0.8102824040550326,0.8822389144657136
22,0.2,All,Lattice,7,413,COLAB,0.9220828582288103,0.81657223796034,0.8852337373237695
23,0.2,All,Lattice,7,413,COLAB,0.9235116804822909,0.8137028483448807,0.8874272704275235
24,0.2,All,Lattice,7,413,COLAB,0.925718290119131,0.8014598540145985,0.8854166666666666
25,0.2,All,Lattice,7,413,COLAB,0.9202320522117476,0.820066889632107,0.8850223371737597
26,0.2,All,Lattice,7,413,COLAB,0.9343589743589744,0.8191653786707882,0.8990282057359564
27,0.2,All,Lattice,7,413,COLAB,0.916972814107274,0.8109627547434997,0.8805790108564535
28,0.2,All,Lattice,7,413,COLAB,0.9208960448022401,0.8011165387299372,0.8808857808857808
29,0.2,All,Lattice,7,413,COLAB,0.9307359307359307,0.7769171185127808,0.8818606940684224
30,0.2,All,Lattice,7,413,COLAB,0.9176428824991125,0.832339297548045,0.8878871937124364
31,0.2,All,Lattice,7,413,COLAB,0.9199149539333806,0.8100072516316171,0.883837181623423
32,0.2,All,Lattice,7,413,COLAB,0.9275825346112886,0.8167613636363636,0.8906508875739645
33,0.2,All,Lattice,7,413,COLAB,0.9309428950863214,0.7984046410442349,0.8893190617171487
34,0.2,All,Lattice,7,413,COLAB,0.9296517762926486,0.8282111899133175,0.8983463035019456
35,0.2,All,Lattice,7,413,COLAB,0.9222301136363636,0.782060785767235,0.8768307322929172
36,0.2,All,Lattice,7,413,COLAB,0.9213564213564214,0.8031161473087819,0.881453154875717
37,0.2,All,Lattice,7,413,COLAB,0.9308510638297872,0.7971586424625099,0.8894054318571079
38,0.2,All,Lattice,7,413,COLAB,0.923997185080929,0.8355681016231475,0.8945761915942709
39,0.2,All,Lattice,7,413,COLAB,0.9305210918114144,0.7943262411347518,0.8882640586797066
40,0.2,All,Lattice,7,413,COLAB,0.9296066252587991,0.7849384503982622,0.8829165692918907
41,0.2,All,Lattice,7,413,COLAB,0.9181783095329988,0.8299791811242193,0.886656746031746
42,0.2,All,Lattice,7,413,COLAB,0.9186927062574731,0.8148967551622419,0.8822768434670116
43,0.2,All,Lattice,7,413,COLAB,0.9135036496350365,0.7847929395790902,0.8685022549252315
44,0.2,All,Lattice,7,413,COLAB,0.9201492537313433,0.79265493496557,0.8783546526210183
45,0.2,All,Lattice,7,413,COLAB,0.9263759828448892,0.8094879518072289,0.8887542413960252
46,0.2,All,Lattice,7,413,COLAB,0.9179241810820759,0.8081805359661495,0.8802902055622732
47,0.2,All,Lattice,7,413,COLAB,0.9194029850746268,0.8064046579330422,0.8811050814010853
48,0.2,All,Lattice,7,413,COLAB,0.9253304751697035,0.8049469964664311,0.884907451352634
49,0.2,All,Lattice,7,413,COLAB,0.9209849320102903,0.7955010224948875,0.8770296084049666
50,0.2,All,Lattice,7,413,COLAB,0.9273119827275998,0.8167770419426048,0.8910101498308362
1,0.2,All,Lattice,7,413,NOLAB,0.9189884269181312,0.8061674008810573,0.8820645905420992
2,0.2,All,Lattice,7,413,NOLAB,0.919576059850374,0.7954841511072515,0.8794096978215039
3,0.2,All,Lattice,7,413,NOLAB,0.9264341528492472,0.8139023317201936,0.8924202127659574
4,0.2,All,Lattice,7,413,NOLAB,0.9193344566133108,0.8081830180378354,0.8833499501495513
5,0.2,All,Lattice,7,413,NOLAB,0.9225061830173125,0.8149934239368698,0.888125613346418
6,0.2,All,Lattice,7,413,NOLAB,0.9228420195439739,0.8216503992901508,0.8910131174993022
7,0.2,All,Lattice,7,413,NOLAB,0.9171475680131904,0.8112180828798661,0.8821985913547853
8,0.2,All,Lattice,7,413,NOLAB,0.9148068669527897,0.8127972330306961,0.8809694536067689
9,0.2,All,Lattice,7,413,NOLAB,0.9266879744306832,0.8080898876404494,0.8901949937767943
10,0.2,All,Lattice,7,413,NOLAB,0.9150411790203727,0.7997341603898981,0.8771648959394557
11,0.2,All,Lattice,7,413,NOLAB,0.9259699129057799,0.8210479573712256,0.8936199342825849
12,0.2,All,Lattice,7,413,NOLAB,0.9124893797790994,0.8202061855670103,0.8811159399971962
13,0.2,All,Lattice,7,413,NOLAB,0.9254731861198738,0.8025675077467906,0.8876006001909699
14,0.2,All,Lattice,7,413,NOLAB,0.917125900805426,0.8155012636899748,0.8831077270163564
15,0.2,All,Lattice,7,413,NOLAB,0.9215400624349636,0.8013392857142857,0.8833215046132008
