replica,network,population,true_model,sigma,net_size,colab_cond,TAT50
9,Lattice,All,13,0.2,484,NOLAB,0.9301132342533617
10,Lattice,All,13,0.2,484,NOLAB,0.9296073576229218
11,Lattice,All,13,0.2,484,NOLAB,0.9419498036537477
12,Lattice,All,13,0.2,484,NOLAB,0.9533486481710549
13,Lattice,All,13,0.2,484,NOLAB,0.9506366649223792
14,Lattice,All,13,0.2,484,NOLAB,0.9495633576902512
15,Lattice,All,13,0.2,484,NOLAB,0.9328686720469552
16,Lattice,All,13,0.2,484,NOLAB,0.929346826126955
17,Lattice,All,13,0.2,484,NOLAB,0.9275786393562546
18,Lattice,All,13,0.2,484,NOLAB,0.9533333333333334
19,Lattice,All,13,0.2,484,NOLAB,0.9439971372338523
20,Lattice,All,13,0.2,484,NOLAB,0.960553633217993
21,Lattice,All,13,0.2,484,NOLAB,0.9538301919418987
22,Lattice,All,13,0.2,484,NOLAB,0.9375223134594788
23,Lattice,All,13,0.2,484,NOLAB,0.9307423098176459
24,Lattice,All,13,0.2,484,NOLAB,0.928314121037464
25,Lattice,All,13,0.2,484,NOLAB,0.9433962264150944
26,Lattice,All,13,0.2,484,NOLAB,0.946149703823371
27,Lattice,All,13,0.2,484,NOLAB,0.9436012418075198
28,Lattice,All,13,0.2,484,NOLAB,0.9470767030216342
29,Lattice,All,13,0.2,484,NOLAB,0.9415108177484415
30,Lattice,All,13,0.2,484,NOLAB,0.9393073902177793
31,Lattice,All,13,0.2,484,NOLAB,0.9407562293082419
32,Lattice,All,13,0.2,484,NOLAB,0.9475172291924369
33,Lattice,All,13,0.2,484,NOLAB,0.9206207634677132
34,Lattice,All,13,0.2,484,NOLAB,0.9403661410186696
35,Lattice,All,13,0.2,484,NOLAB,0.9525187202178352
36,Lattice,All,13,0.2,484,NOLAB,0.9518679409209383
37,Lattice,All,13,0.2,484,NOLAB,0.9124440465532677
38,Lattice,All,13,0.2,484,NOLAB,0.9329925141500821
39,Lattice,All,13,0.2,484,NOLAB,0.9343832020997376
40,Lattice,All,13,0.2,484,NOLAB,0.9304408923239066
41,Lattice,All,13,0.2,484,NOLAB,0.9445371916156557
42,Lattice,All,13,0.2,484,NOLAB,0.9582525982032764
43,Lattice,All,13,0.2,484,NOLAB,0.95101901010447
44,Lattice,All,13,0.2,484,NOLAB,0.9582130117207406
45,Lattice,All,13,0.2,484,NOLAB,0.9305755395683454
46,Lattice,All,13,0.2,484,NOLAB,0.943830242510699
47,Lattice,All,13,0.2,484,NOLAB,0.9333333333333333
48,Lattice,All,13,0.2,484,NOLAB,0.9269069572506287
49,Lattice,All,13,0.2,484,NOLAB,0.9384965831435079
50,Lattice,All,13,0.2,484,NOLAB,0.9381590705987489
1,Lattice,All,2,0.2,484,COLAB,0.8919941775836973
2,Lattice,All,2,0.2,484,COLAB,0.9299079299079299
3,Lattice,All,2,0.2,484,COLAB,0.9249515369703684
4,Lattice,All,2,0.2,484,COLAB,0.9283880171184022
5,Lattice,All,2,0.2,484,COLAB,0.8979652902453621
6,Lattice,All,2,0.2,484,COLAB,0.8972230174634984
7,Lattice,All,2,0.2,484,COLAB,0.9221040528887612
8,Lattice,All,2,0.2,484,COLAB,0.9181483752299203
9,Lattice,All,2,0.2,484,COLAB,0.9165170556552962
10,Lattice,All,2,0.2,484,COLAB,0.9287833827893175
11,Lattice,All,2,0.2,484,COLAB,0.894311377245509
12,Lattice,All,2,0.2,484,COLAB,0.9195136074116966
13,Lattice,All,2,0.2,484,COLAB,0.8963577139472905
14,Lattice,All,2,0.2,484,COLAB,0.9281719163968207
15,Lattice,All,2,0.2,484,COLAB,0.9207683073229291
16,Lattice,All,2,0.2,484,COLAB,0.9200113862795332
17,Lattice,All,2,0.2,484,COLAB,0.900059488399762
18,Lattice,All,2,0.2,484,COLAB,0.9485465116279069
19,Lattice,All,2,0.2,484,COLAB,0.9047189660354674
20,Lattice,All,2,0.2,484,COLAB,0.9393311630659958
21,Lattice,All,2,0.2,484,COLAB,0.9026315789473685
22,Lattice,All,2,0.2,484,COLAB,0.884493670886076
23,Lattice,All,2,0.2,484,COLAB,0.9036535061873895
24,Lattice,All,2,0.2,484,COLAB,0.8942050520059436
25,Lattice,All,2,0.2,484,COLAB,0.8962569997052756
