replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
45,Lattice,All,2,0.2,413,COLAB,0.8232787941006229,0.9374490073429426
46,Lattice,All,2,0.2,413,COLAB,0.8318159546359006,0.9484702093397746
47,Lattice,All,2,0.2,413,COLAB,0.8082649609557738,0.8991507430997877
48,Lattice,All,2,0.2,413,COLAB,0.8224567428429945,0.9112881806108898
49,Lattice,All,2,0.2,413,COLAB,0.8239125845905507,0.9356410256410257
50,Lattice,All,2,0.2,413,COLAB,0.8215756827411902,0.9351925630810093
1,Lattice,All,2,0.2,413,NOLAB,0.8221461386742613,0.9409058740268932
2,Lattice,All,2,0.2,413,NOLAB,0.8201982261910793,0.9354668542289432
3,Lattice,All,2,0.2,413,NOLAB,0.8225215113798183,0.937879810938555
4,Lattice,All,2,0.2,413,NOLAB,0.833878901597485,0.9432225063938618
5,Lattice,All,2,0.2,413,NOLAB,0.8181130262648455,0.9354838709677419
6,Lattice,All,2,0.2,413,NOLAB,0.8149615322487206,0.9250785888927698
7,Lattice,All,2,0.2,413,NOLAB,0.819789670209549,0.9358631747728487
8,Lattice,All,2,0.2,413,NOLAB,0.8168067032811583,0.9390223130642139
9,Lattice,All,2,0.2,413,NOLAB,0.8284232716436106,0.9372377622377622
10,Lattice,All,2,0.2,413,NOLAB,0.8255481685467052,0.9430659415363698
11,Lattice,All,2,0.2,413,NOLAB,0.8233292219969974,0.9385873347251218
12,Lattice,All,2,0.2,413,NOLAB,0.8202330378128565,0.9286821705426357
13,Lattice,All,2,0.2,413,NOLAB,0.8270363087790001,0.9337463431423163
14,Lattice,All,2,0.2,413,NOLAB,0.8305191992773201,0.9468483816013629
15,Lattice,All,2,0.2,413,NOLAB,0.8364069165429304,0.9405377456049638
16,Lattice,All,2,0.2,413,NOLAB,0.8144157056494477,0.9324300545486539
17,Lattice,All,2,0.2,413,NOLAB,0.8245207928104527,0.94350080457715
18,Lattice,All,2,0.2,413,NOLAB,0.8308562867042125,0.9507941988950276
19,Lattice,All,2,0.2,413,NOLAB,0.8196716522428319,0.9389753453400944
20,Lattice,All,2,0.2,413,NOLAB,0.8197703923831069,0.9419534237052485
21,Lattice,All,2,0.2,413,NOLAB,0.8370488630470909,0.9340640809443508
22,Lattice,All,2,0.2,413,NOLAB,0.8280612773260085,0.9287169042769857
23,Lattice,All,2,0.2,413,NOLAB,0.805685773442659,0.935546875
24,Lattice,All,2,0.2,413,NOLAB,0.8176112540266658,0.9324798316380217
25,Lattice,All,2,0.2,413,NOLAB,0.8126264280098849,0.914341567442687
26,Lattice,All,2,0.2,413,NOLAB,0.8079364117055845,0.9362970533128939
27,Lattice,All,2,0.2,413,NOLAB,0.8092946269416857,0.930837789661319
28,Lattice,All,2,0.2,413,NOLAB,0.81543225856258,0.9350199272223185
29,Lattice,All,2,0.2,413,NOLAB,0.816296701768636,0.9307201458523245
30,Lattice,All,2,0.2,413,NOLAB,0.821166636063972,0.9205389531870789
